Year Month Day Hour Minute Second V1 V2 I1 I2 P1 P2 SU_MS SU_Stability MS MS_RPM Gen_RPM SU_P_1_target SU_Gen_Start_Counter Relais_state wind_v1 wind_v1_mean wind_v1_cut_out wind_status Battery_full MS_DCDC_PWM Dumpload Short_Break MPPT_MODE MPPT_delta_wind_v1 MPPT_delta_wind_v1_Reason MPPT_DCDC_PWM MPPT_omega_stern MPPT_omega_opt MPPT_kopt*10^6 MPPT_P_2_opt MPPT_delta_P_2 MPPT_delta_Omega Codepoint
2019 04 16 20 54 10 39.687 11.181 Nan -4.973 Nan -55.60 254 6 0 240 0 -58.04 0 1 2.00 2.00 8.00 2 0 67 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 54 10 39.741 11.178 Nan -5.088 Nan -56.88 254 6 0 237 0 -58.04 0 1 2.00 2.00 8.00 2 0 67 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
2019 04 16 20 54 12 39.627 11.148 Nan -5.149 Nan -57.40 255 6 0 236 0 -58.04 0 1 2.00 2.00 8.00 2 0 67 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 54 13 39.611 11.151 Nan -5.235 Nan -58.38 255 6 0 241 0 -58.04 0 1 2.00 2.00 8.00 2 0 67 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
2019 04 16 20 54 15 39.715 11.169 Nan -5.087 Nan -56.81 254 6 0 239 0 -58.38 0 1 2.00 2.00 8.00 2 0 67 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 54 16 39.694 11.173 Nan -4.971 Nan -55.54 254 6 0 236 0 -58.38 0 1 2.00 2.00 8.00 2 0 67 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
2019 04 16 20 54 18 39.661 11.156 Nan -5.121 Nan -57.13 255 6 0 238 0 -58.38 0 1 2.00 2.00 8.00 2 0 67 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 54 19 39.596 11.147 Nan -5.214 Nan -58.12 255 6 0 238 0 -58.38 0 1 2.00 2.00 8.00 2 0 67 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
2019 04 16 20 54 21 39.570 11.142 Nan -5.209 Nan -58.04 255 6 0 236 0 -58.38 0 1 2.00 2.00 8.00 2 0 67 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 54 22 39.671 11.158 Nan -5.123 Nan -57.16 255 6 0 240 0 -58.38 0 1 2.00 2.00 8.00 2 0 67 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
